"Dataset Index","Dose","N","Effect"
"ID466",0,60,3
"ID466",0.01,60,7
"ID466",0.1,60,5
"ID466",0.5,60,7
"ID466",2,61,16
"ID467",0,10,1
"ID467",2.66,10,2
"ID467",13.3,11,11
"ID467",40,10,10
"ID468",0,10,0
"ID468",2.66,10,4
"ID468",13.3,10,9
"ID468",40,12,12
"ID473",0,10,0
"ID473",11,10,1
"ID473",14,10,5
"ID473",95,10,5
"ID474",0,10,5
"ID474",50,10,8
"ID474",150,10,2
"ID474",560,10,0
"ID475",0,10,2
"ID475",50,10,2
"ID475",150,10,8
"ID475",560,10,0
"ID476",0,10,0
"ID476",50,10,0
"ID476",150,10,0
"ID476",560,10,8
"ID477",0,10,0
"ID477",50,10,0
"ID477",150,10,0
"ID477",560,10,2
"ID478",0,193,0
"ID478",100,93,0
"ID478",200,100,0
"ID478",400,90,7
"ID479",0,6,0
"ID479",3.2,6,0
"ID479",13.1,6,1
"ID479",52.3,6,2
"ID480",0,56,5
"ID480",7,57,25
"ID480",30,55,40
"ID480",143,56,42
"ID481",0,10,0
"ID481",10,10,0
"ID481",20,10,3
"ID481",40,10,4
"ID481",80,10,6
"ID481",120,10,0
"ID483",0,10,0
"ID483",36,10,0
"ID483",71,10,1
"ID483",143,10,6
"ID483",286,10,4
"ID483",429,10,4
"ID484",0,10,0
"ID484",11,10,0
"ID484",34,10,0
"ID484",115,10,2
"ID484",344,10,10
"ID486",0,10,3
"ID486",8.6,10,6
"ID486",17.9,10,5
"ID486",36,10,8
"ID486",71,10,8
"ID486",143,10,10
"ID487",0,19,0
"ID487",30,19,0
"ID487",100,21,0
"ID487",300,19,6
"ID488",0,50,4
"ID488",5,50,7
"ID488",25,50,39
"ID488",125,50,49
"ID489",0,50,6
"ID489",5,50,7
"ID489",25,50,49
"ID489",125,50,46
"ID490",0,80,7
"ID490",0.15,80,8
"ID490",0.75,80,25
"ID490",1.875,80,27
"ID491",0,10,0
"ID491",30,10,0
"ID491",60,10,5
"ID491",90,9,9
"ID491",120,13,13
"ID491",150,15,15
"ID492",0,10,0
"ID492",30,10,0
"ID492",60,9,6
"ID492",90,10,10
"ID492",120,15,15
"ID492",150,17,17
"ID493",0,30,0
"ID493",57.5,30,4
"ID493",173,30,6
"ID493",518,30,18
"ID494",0,10,0
"ID494",13,10,0
"ID494",67,10,0
"ID494",332,10,3
"ID498",0,50,20
"ID498",4,50,33
"ID498",22,50,45
"ID498",117,50,49
"ID499",0,50,3
"ID499",12.8,50,12
"ID499",32,49,46
"ID499",80,49,48
"ID500",0,50,3
"ID500",12.8,50,12
"ID500",32,49,46
"ID500",80,49,48
"ID501",0,50,13
"ID501",12.8,49,25
"ID501",32,49,42
"ID501",80,50,39
"ID502",0,49,6
"ID502",12.8,50,22
"ID502",32,50,22
"ID502",80,50,34
"ID503",0,80,0
"ID503",0.031,80,0
"ID503",0.324,80,6
"ID503",10.18,80,56
"ID503",26.28,80,71
"ID504",0,80,1
"ID504",0.034,80,0
"ID504",0.366,80,1
"ID504",11.31,80,52
"ID504",29.48,80,63
"ID505",0,80,32
"ID505",0.031,80,29
"ID505",0.324,80,22
"ID505",10.18,80,46
"ID505",26.28,80,63
"ID506",0,80,30
"ID506",0.034,80,31
"ID506",0.366,80,37
"ID506",11.31,80,55
"ID506",29.48,80,63
"ID507",0,80,3
"ID507",0.034,80,5
"ID507",0.366,80,10
"ID507",11.31,80,25
"ID507",29.48,80,24
"ID508",0,50,0
"ID508",100,50,42
"ID508",300,49,44
"ID508",1040,50,47
"ID509",0,34,0
"ID509",24,40,2
"ID509",82,39,2
"ID509",300,46,18
"ID510",0,34,12
"ID510",24,40,8
"ID510",82,39,10
"ID510",300,46,1
"ID511",0,19,5
"ID511",15,15,6
"ID511",30,13,9
"ID511",100,10,3
"ID511",150,20,12
"ID512",0,38,0
"ID512",6,30,2
"ID512",12,30,4
"ID512",24,38,7
"ID513",0,24,12
"ID513",28,23,16
"ID513",170,24,17
"ID513",1080,23,19
"ID514",0,10,4
"ID514",10.7,10,7
"ID514",21.4,10,8
"ID514",42.9,10,10
"ID514",89.3,10,10
"ID514",179,10,10
"ID515",0,10,0
"ID515",5,10,0
"ID515",25,10,0
"ID515",125,10,0
"ID515",600,10,5
"ID516",0,5,0
"ID516",12.5,5,4
"ID516",39.5,5,5
"ID516",72,5,5
"ID517",0,70,41
"ID517",285.3,70,42
"ID517",665.3,70,41
"ID517",782.1,70,53
"ID518",0,76,52
"ID518",131.6,34,22
"ID518",723.9,38,35
"ID518",1170.5,35,34
"ID518",1548,41,40
"ID519",0,10,0
"ID519",50,10,0
"ID519",200,10,3
"ID519",800,10,7
"ID520",0,10,0
"ID520",50,10,1
"ID520",200,10,0
"ID520",800,10,3
"ID521",0,10,0
"ID521",50,10,0
"ID521",200,10,1
"ID521",800,10,10
"ID522",0,10,0
"ID522",50,10,0
"ID522",200,10,0
"ID522",800,10,9
"ID527",0,3,0
"ID527",167,3,0
"ID527",500,3,0
"ID527",1117,2,1
"ID528",0,3,0
"ID528",167,3,0
"ID528",500,2,1
"ID528",1117,1,1
"ID529",0,3,0
"ID529",167,3,0
"ID529",500,3,0
"ID529",1117,2,2
"ID530",0,3,0
"ID530",167,3,0
"ID530",500,2,1
"ID530",1117,1,1
"ID531",0,5,0
"ID531",90,5,0
"ID531",270,5,2
"ID531",1100,5,3
"ID532",0,14,1
"ID532",450,15,4
"ID532",3235,15,7
"ID532",7050,15,13
"ID533",0,2,0
"ID533",4,2,0
"ID533",20,3,3
"ID533",100,4,4
"ID534",0,2,0
"ID534",4,2,0
"ID534",20,3,2
"ID534",100,4,0
"ID535",0,60,14
"ID535",0.036,60,13
"ID535",0.18,60,26
"ID535",1.1,60,32
"ID536",0,41,10
"ID536",0.1,43,10
"ID536",0.3,46,17
"ID536",0.6,46,14
"ID536",2.9,46,20
"ID537",0,50,41
"ID537",0.05,25,17
"ID537",0.5,25,18
"ID537",5,25,25
"ID538",0,50,35
"ID538",0.05,25,13
"ID538",0.5,25,15
"ID538",5,25,25
"ID539",0,256,0
"ID539",40,129,0
"ID539",200,129,0
"ID539",1000,116,95
"ID540",0,256,0
"ID540",40,129,0
"ID540",200,129,1
"ID540",1000,116,10
"ID541",0,256,5
"ID541",40,129,0
"ID541",200,129,3
"ID541",1000,116,72
"ID542",0,256,0
"ID542",40,129,0
"ID542",200,129,0
"ID542",1000,116,16
"ID543",0,27,9
"ID543",68,28,20
"ID543",135,28,24
"ID543",270,28,27
"ID543",406,29,29
"ID544",0,5,0
"ID544",17,5,2
"ID544",56,5,4
"ID544",168,5,5
"ID545",0,6,0
"ID545",12,13,3
"ID545",24,10,3
"ID545",36,8,8
"ID546",0,72,4
"ID546",0.25,75,20
"ID546",1.25,73,41
"ID546",6.25,73,44
"ID546",12.5,69,27
"ID546",25,70,3
"ID547",0,4,0
"ID547",1.4,4,1
"ID547",10.1,4,4
"ID547",20.1,4,4
"ID548",0,4,1
"ID548",0.5,4,0
"ID548",5,4,0
"ID548",100,4,2
"ID549",0,4,0
"ID549",0.5,4,1
"ID549",5,4,0
"ID549",100,4,3
"ID550",0,104,14
"ID550",1,52,6
"ID550",10,52,5
"ID550",100,52,14
"ID550",1000,52,32
"ID551",0,104,16
"ID551",1,52,21
"ID551",10,52,11
"ID551",100,52,20
"ID551",1000,52,26
"ID552",0,104,1
"ID552",1,52,1
"ID552",10,52,0
"ID552",100,52,4
"ID552",1000,52,7
"ID553",0,23,0
"ID553",5,23,0
"ID553",20,23,0
"ID553",60,23,15
"ID554",0,23,0
"ID554",5,23,0
"ID554",20,23,0
"ID554",60,23,3
"ID555",0,60,0
"ID555",2.1,37,1
"ID555",8.4,37,0
"ID555",31.5,35,4
"ID555",109.4,600,7
"ID556",0,20,1
"ID556",125,20,2
"ID556",250,20,1
"ID556",500,20,11
"ID557",0,20,1
"ID557",125,20,2
"ID557",250,20,5
"ID557",500,20,11
"ID558",0,47,1
"ID558",1.2,45,2
"ID558",15,44,1
"ID558",82,47,45
"ID559",0,48,1
"ID559",1.8,49,0
"ID559",21,47,2
"ID559",109,48,45
"ID560",0,47,2
"ID560",1.2,45,6
"ID560",15,44,4
"ID560",82,47,24
"ID561",0,48,3
"ID561",1.8,49,5
"ID561",21,47,3
"ID561",109,48,33
"ID562",0,50,4
"ID562",1.2,48,1
"ID562",15,48,5
"ID562",82,50,21
"ID563",0,49,0
"ID563",1.8,49,1
"ID563",21,48,0
"ID563",109,49,20
"ID564",0,9,0
"ID564",20,10,0
"ID564",115,10,5
"ID564",552,10,10
"ID565",0,9,0
"ID565",20,10,0
"ID565",115,9,7
"ID565",552,9,9
"ID566",0,9,0
"ID566",20,10,0
"ID566",115,10,0
"ID566",552,10,3
"ID567",0,9,0
"ID567",20,10,0
"ID567",115,9,2
"ID567",552,9,5
"ID568",0,9,0
"ID568",20,10,0
"ID568",115,10,2
"ID568",552,10,10
"ID569",0,9,0
"ID569",20,10,0
"ID569",115,9,3
"ID569",552,9,8
"ID570",0,10,4
"ID570",7.9,10,10
"ID570",16,10,10
"ID570",32,10,10
"ID570",64,10,9
"ID571",0,10,0
"ID571",1.4,10,0
"ID571",2.9,10,0
"ID571",5.7,10,0
"ID571",11,10,0
"ID571",21,10,10
"ID572",0,10,0
"ID572",1.4,10,0
"ID572",2.9,10,0
"ID572",5.7,10,0
"ID572",11,10,1
"ID572",21,10,10
"ID573",0,10,0
"ID573",1.4,10,0
"ID573",2.9,10,0
"ID573",5.7,10,1
"ID573",11,10,1
"ID573",21,10,8
"ID574",0,10,0
"ID574",2.9,10,4
"ID574",5.7,10,9
"ID574",11,10,10
"ID574",21,10,10
"ID574",43,10,10
"ID575",0,10,0
"ID575",2.9,10,7
"ID575",5.7,10,10
"ID575",11,10,10
"ID575",21,10,10
"ID575",43,10,9
"ID576",0,10,0
"ID576",2.9,10,4
"ID576",5.7,10,7
"ID576",11,10,10
"ID576",21,10,10
"ID576",43,10,10
"ID577",0,10,0
"ID577",2.9,10,4
"ID577",5.7,10,6
"ID577",11,10,10
"ID577",21,10,10
"ID577",43,10,9
"ID578",0,50,7
"ID578",62.5,49,11
"ID578",125,50,16
"ID578",250,50,21
"ID583",0,48,3
"ID583",0.32,48,4
"ID583",1.6,48,4
"ID583",8,49,17
"ID583",40,49,37
"ID584",0,49,2
"ID584",0.32,49,5
"ID584",1.6,50,7
"ID584",8,49,17
"ID584",40,49,42
"ID585",0,10,0
"ID585",0.2,10,1
"ID585",0.5,10,9
"ID585",1.8,10,10
"ID585",4.5,10,10
"ID585",19.2,10,10
"ID586",0,10,0
"ID586",7,10,0
"ID586",14,10,2
"ID586",27,10,5
"ID586",54,10,9
"ID586",107,10,9
"ID587",0,50,0
"ID587",0.11,50,0
"ID587",0.56,50,1
"ID587",2.23,50,36
"ID588",0,49,4
"ID588",0.11,50,0
"ID588",0.56,50,3
"ID588",2.23,48,40
"ID589",0,10,1
"ID589",1,10,2
"ID589",15,10,7
"ID589",62,10,10
"ID590",0,10,1
"ID590",1,10,1
"ID590",15,10,2
"ID590",62,10,6
"ID591",0,60,0
"ID591",100,60,0
"ID591",316,60,0
"ID591",1000,60,60
"ID594",0,55,15
"ID594",500,55,20
"ID594",2500,55,21
"ID594",5000,55,23
"ID595",0,55,10
"ID595",500,55,20
"ID595",2500,55,20
"ID595",5000,55,23
"ID596",0,34,4
"ID596",0.06,13,2
"ID596",0.3,17,8
"ID596",0.5,12,8
"ID596",1.6,4,3
"ID597",0,30,0
"ID597",200,30,11
"ID597",590,30,24
"ID597",1750,30,26
"ID600",0,3,0
"ID600",9,3,0
"ID600",24,3,1
"ID600",37,3,0
"ID601",0,10,0
"ID601",0.3,10,0
"ID601",1.4,10,2
"ID601",7.1,10,6
"ID601",36,10,10
"ID602",0,10,1
"ID602",0.3,10,1
"ID602",1.4,10,1
"ID602",7.1,10,9
"ID602",36,10,10
"ID603",0,46,4
"ID603",2.08,48,13
"ID603",20.9,49,23
"ID603",62.5,48,31
"ID604",0,58,9
"ID604",2.08,58,19
"ID604",20.9,59,25
"ID604",62.5,59,42
"ID606",0,10,0
"ID606",0.15,10,0
"ID606",0.6,10,0
"ID606",3.1,10,10
"ID607",0,10,0
"ID607",0.15,10,0
"ID607",0.6,10,0
"ID607",3.1,10,5
"ID608",0,10,0
"ID608",0.15,10,0
"ID608",0.6,10,0
"ID608",3.1,10,7
"ID609",0,10,0
"ID609",0.15,10,0
"ID609",0.6,10,0
"ID609",3.1,10,9
"ID610",0,39,0
"ID610",18.3,47,0
"ID610",73,48,42
"ID610",289.6,38,38
"ID612",0,52,2
"ID612",0.007,52,12
"ID612",0.07,52,2
"ID612",0.7,52,40
"ID612",1.8,52,43
"ID612",3.8,52,44
"ID613",0,51,2
"ID613",0.007,50,1
"ID613",0.07,47,0
"ID613",0.7,47,5
"ID613",1.8,35,4
"ID613",3.8,49,6
"ID614",0,52,4
"ID614",0.007,52,2
"ID614",0.07,52,3
"ID614",0.7,52,14
"ID614",1.8,52,39
"ID614",3.8,52,45
"ID615",0,52,10
"ID615",0.007,52,11
"ID615",0.07,52,13
"ID615",0.7,52,20
"ID615",1.8,52,21
"ID615",3.8,52,26
"ID616",0,52,11
"ID616",0.007,52,13
"ID616",0.07,52,18
"ID616",0.7,52,36
"ID616",1.8,52,45
"ID616",3.8,52,43
"ID617",0,52,20
"ID617",0.007,52,20
"ID617",0.07,52,19
"ID617",0.7,52,42
"ID617",1.8,52,38
"ID617",3.8,52,39
"ID629",0,36,0
"ID629",5.7,40,4
"ID629",11.4,38,15
"ID629",22.9,34,23
"ID630",0,5,0
"ID630",570,5,0
"ID630",1140,3,0
"ID630",4000,4,4
"ID631",0,50,5
"ID631",2.1,50,3
"ID631",21,50,4
"ID631",71,50,10
"ID632",0,52,0
"ID632",5,60,19
"ID632",25,63,47
"ID632",50,61,42
"ID633",0,68,0
"ID633",5,67,58
"ID633",25,65,58
"ID633",50,66,62
"ID634",0,53,0
"ID634",5,60,55
"ID634",25,64,63
"ID634",50,62,62
"ID635",0,67,1
"ID635",5,66,1
"ID635",25,65,32
"ID635",50,66,41
"ID636",0,13,3
"ID636",100,15,13
"ID636",316,15,7
"ID636",1000,11,5
"ID637",0,23,3
"ID637",100,19,3
"ID637",316,18,0
"ID637",1000,18,6
"ID638",0,23,9
"ID638",100,21,14
"ID638",316,18,8
"ID638",1000,24,24
"ID639",0,23,5
"ID639",100,19,4
"ID639",316,18,0
"ID639",1000,18,9
"ID640",0,23,2
"ID640",100,19,2
"ID640",316,18,1
"ID640",1000,18,2
"ID641",0,60,1
"ID641",165,59,15
"ID641",360,57,27
"ID641",700,60,30
"ID642",0,10,0
"ID642",42,10,6
"ID642",82,10,8
"ID642",165,10,10
"ID642",342,10,9
"ID642",723,10,10
"ID643",0,20,0
"ID643",50,20,0
"ID643",150,19,2
"ID643",450,20,20
"ID643",1350,20,18
"ID643",4000,20,20
"ID646",0,4,0
"ID646",1.5,4,4
"ID646",3.5,4,4
"ID646",6.5,3,3
"ID647",0,4,1
"ID647",1.5,4,1
"ID647",3.5,4,4
"ID647",6.5,3,3
"ID648",0,4,2
"ID648",1.5,4,2
"ID648",3.5,4,4
"ID648",6.5,3,3
"ID649",0,35,0
"ID649",17,50,1
"ID649",34,50,3
"ID649",114,49,8
"ID651",0,105,8
"ID651",20,16,1
"ID651",142,12,0
"ID651",1000,106,19
"ID656",0,30,0
"ID656",0.125,30,1
"ID656",0.25,29,0
"ID656",0.5,28,5
"ID656",1,25,14
"ID657",0,15,0
"ID657",357,15,2
"ID657",1785,15,10
"ID657",3570,15,15
"ID659",0,66,5
"ID659",13,61,11
"ID659",43,62,29
"ID659",127,63,47
"ID660",0,64,4
"ID660",13,64,8
"ID660",43,62,20
"ID660",127,65,43
"ID661",0,50,7
"ID661",1.2,50,8
"ID661",3.4,50,10
"ID661",9.2,50,12
"ID662",0,50,1
"ID662",1.2,50,2
"ID662",3.4,50,2
"ID662",9.2,50,10
"ID663",0,20,4
"ID663",75,20,1
"ID663",125,20,1
"ID663",250,20,9
"ID664",0,120,2
"ID664",4.37,60,2
"ID664",42.9,59,5
"ID664",130,60,7
"ID665",0,50,0
"ID665",10,50,0
"ID665",100,50,0
"ID665",1000,50,7
"ID666",0,54,2
"ID666",0.3,55,4
"ID666",1.5,52,9
"ID666",8,55,12
"ID666",40,31,19
"ID667",0,16,14
"ID667",6.5,16,8
"ID667",32.1,16,7
"ID667",165.9,16,8
"ID668",0,10,0
"ID668",0.15,10,4
"ID668",0.3,9,5
"ID668",1.5,9,9
"ID670",0,4,0
"ID670",200,4,0
"ID670",400,3,2
"ID670",600,4,3
"ID671",0,4,0
"ID671",200,4,1
"ID671",400,4,4
"ID671",600,4,3
"ID672",0,50,5
"ID672",1.6,50,12
"ID672",5.4,50,21
"ID672",17,50,32
"ID673",0,4,0
"ID673",22.5,4,0
"ID673",90,4,0
"ID673",360,4,2
"ID676",0,10,0
"ID676",1.8,10,0
"ID676",3.6,10,0
"ID676",7.1,10,3
"ID676",14,10,3
"ID676",29,10,8
"ID678",0,606,13
"ID678",0.00045,144,0
"ID678",0.048,110,5
"ID678",0.218,181,9
"ID678",129,105,11
"ID679",0,45,2
"ID679",5,49,10
"ID679",20,48,28
"ID679",80,46,24
"ID682",0,52,1
"ID682",1.8,52,0
"ID682",17.4,52,0
"ID682",202.2,52,12
"ID683",0,52,0
"ID683",2.1,52,1
"ID683",20.1,52,0
"ID683",209.5,52,8
"ID686",0,35,0
"ID686",0.131,37,1
"ID686",0.52,38,9
"ID686",2.1,40,16
"ID686",8.2,35,10
"ID688",0,71,0
"ID688",1.1,73,4
"ID688",6.1,73,5
"ID688",12.9,71,11
"ID688",28.7,67,31
"ID689",0,60,0
"ID689",1.1,63,4
"ID689",6.1,67,2
"ID689",12.9,58,5
"ID689",28.7,54,17
"ID690",0,69,1
"ID690",1.1,67,1
"ID690",6.1,71,6
"ID690",12.9,62,3
"ID690",28.7,56,18
"ID695",0,50,18
"ID695",8,33,11
"ID695",84,25,14
"ID695",168,35,30
"ID695",315,21,21
"ID695",429,11,11
"ID697",0,125,24
"ID697",60,200,51
"ID697",125,100,30
"ID697",185,99,31
"ID697",250,125,35
"ID700",0,49,2
"ID700",2.5,50,1
"ID700",12.5,50,6
"ID700",25,49,10
"ID701",0,23,11
"ID701",15,35,12
"ID701",100,27,17
"ID701",700,35,34
"ID703",0,10,0
"ID703",375,9,0
"ID703",750,10,2
"ID703",1500,12,9
"ID706",0,20,0
"ID706",13,20,0
"ID706",37.5,38,30
"ID706",65,20,20
"ID708",0,73,15
"ID708",1.25,50,14
"ID708",2.5,49,14
"ID708",5,48,24
"ID709",0,75,2
"ID709",1.25,50,5
"ID709",2.5,50,7
"ID709",5,50,18
"ID711",0,65,1
"ID711",1.5,62,5
"ID711",7,64,9
"ID711",35,64,12
"ID711",100,31,6
"ID712",0,30,3
"ID712",0.14,26,1
"ID712",0.28,25,7
"ID712",0.56,25,12
"ID712",1.13,25,15
"ID719",0,34,1
"ID719",17,49,6
"ID719",34,46,9
"ID719",114,49,42
"ID720",0,92,37
"ID720",3.9,48,21
"ID720",16.25,44,28
"ID720",65,49,44
"ID721",0,73,5
"ID721",3.9,39,6
"ID721",16.25,42,11
"ID721",65,44,39
"ID724",0,50,22
"ID724",0.5,50,32
"ID724",5,50,22
"ID724",50,50,35
"ID725",0,50,34
"ID725",0.5,50,39
"ID725",5,50,29
"ID725",50,50,43
"ID726",0,50,3
"ID726",0.5,50,3
"ID726",5,50,3
"ID726",50,50,34
"ID727",0,50,16
"ID727",0.5,50,13
"ID727",5,50,14
"ID727",50,50,33
"ID728",0,64,0
"ID728",0.5,44,0
"ID728",5,40,1
"ID728",50,44,1
"ID729",0,39,0
"ID729",0.5,50,2
"ID729",5,51,1
"ID729",50,43,6
"ID732",0,60,5
"ID732",813,60,5
"ID732",3250,60,9
"ID732",6500,60,17
"ID733",0,54,0
"ID733",0.4,54,0
"ID733",2,55,0
"ID733",10,55,1
"ID733",50,55,17
